Episode,Score,MaxTile,Steps,Time
451,756,64,102,2.20
452,1428,128,146,3.11
453,2504,128,238,5.07
454,1400,128,147,3.07
455,424,32,69,1.42
456,1252,128,139,2.73
457,1216,128,126,2.63
458,1228,128,130,2.78
459,1340,128,140,2.97
460,2064,128,208,4.55
461,996,64,124,2.54
462,1444,128,149,3.21
463,1040,64,127,2.57
464,712,32,102,2.18
465,2280,256,199,4.29
466,1116,128,118,2.53
467,1044,128,111,2.36
468,512,32,75,1.55
469,1856,128,189,3.83
470,2016,128,206,4.19
471,1024,128,114,2.37
472,1464,128,151,3.27
473,1248,128,134,2.81
474,980,64,121,2.65
475,1556,128,162,3.39
476,448,64,63,1.30
477,1124,128,126,2.56
478,1312,128,138,2.80
479,752,64,101,2.08
480,888,64,108,2.23
481,868,64,110,2.30
482,724,64,91,1.87
483,708,64,94,1.96
484,1008,64,118,2.34
485,892,64,108,2.21
486,1060,64,139,2.93
487,1192,64,135,2.88
488,836,64,109,2.35
489,1136,128,122,2.65
490,980,64,116,2.41
491,988,64,120,2.49
492,1164,128,128,2.67
493,1708,128,168,3.45
494,544,32,82,1.85
495,944,64,120,2.56
496,1264,128,140,2.97
497,712,64,95,2.06
498,1012,64,122,2.43
499,848,64,110,2.29
500,1844,128,174,3.58
501,396,32,68,1.39
502,2484,256,213,4.44
503,1532,128,163,3.37
504,348,32,64,1.32
505,1004,128,106,2.22
506,1348,64,154,3.04
507,512,32,81,1.69
508,580,64,80,1.66
509,3728,256,305,6.24
510,632,64,88,1.83
511,1280,64,144,2.99
512,1248,128,133,2.86
513,1372,128,136,2.79
514,1356,128,144,2.88
515,2176,128,205,4.28
516,484,32,78,1.61
517,780,64,98,2.18
518,968,64,115,2.35
519,2164,256,186,3.95
520,612,64,84,1.72
521,888,64,112,2.22
522,1732,128,173,3.83
523,704,64,96,1.97
524,796,64,104,2.06
525,1488,128,157,3.39
526,1012,128,108,2.19
527,3208,256,272,5.84
528,1868,128,183,3.73
529,756,64,95,2.04
530,1272,128,138,2.85
531,840,64,112,2.39
532,1336,128,139,2.98
533,1552,128,161,3.25
534,1040,64,124,2.66
535,1112,64,130,2.75
536,488,32,72,1.43
537,2064,128,192,4.09
538,1356,128,140,2.84
539,472,32,73,1.59
540,1212,128,130,2.80
541,2576,256,220,4.81
542,1452,128,152,3.13
543,1488,128,160,3.43
544,2652,256,223,4.46
545,1252,128,134,2.74
546,1524,128,158,3.26
547,1668,128,154,3.23
548,1612,128,164,3.39
549,1372,128,144,3.00
550,1600,128,168,3.46
551,944,64,116,2.47
552,896,64,112,2.40
553,828,64,105,2.23
554,908,64,112,2.30
555,756,64,101,2.11
556,1152,128,125,2.53
557,636,64,82,1.64
558,732,64,95,1.96
559,936,128,101,2.10
560,568,32,86,1.80
561,1140,128,123,2.57
562,336,32,61,1.31
563,580,64,79,1.67
564,592,64,79,1.60
565,1896,128,189,4.11
566,428,32,69,1.38
567,896,64,109,2.14
568,468,32,75,1.46
569,1432,128,147,3.09
570,1544,128,159,3.18
571,1536,128,164,3.52
572,3136,256,263,5.59
573,1460,128,153,3.13
574,1192,128,131,2.71
575,1416,128,148,3.23
576,1372,128,138,2.72
577,2132,256,180,3.91
578,708,64,94,1.99
579,700,64,94,1.96
580,1116,128,123,2.61
581,912,64,110,2.18
582,976,64,118,2.41
583,1500,128,158,3.34
584,1488,128,157,3.22
585,992,128,110,2.39
586,1100,128,120,2.49
587,1244,64,143,3.07
588,1260,64,140,2.91
589,1216,128,122,2.42
590,1032,64,119,2.49
591,1300,128,138,2.79
592,236,16,49,1.03
593,1124,64,133,2.89
594,820,64,106,2.23
595,1552,128,165,3.49
596,2500,256,216,4.47
597,1376,128,144,2.96
598,544,64,75,1.58
599,704,64,94,1.98
600,1132,128,121,2.49
601,1424,128,146,3.14
602,1436,128,154,3.25
603,1260,128,126,2.72
604,1184,128,119,2.51
605,2556,256,216,4.45
606,948,64,117,2.36
607,2032,128,197,4.00
608,236,16,50,1.08
609,1300,128,131,2.87
610,1180,64,134,2.90
611,668,64,92,2.03
612,1280,128,130,2.66
613,2588,256,224,4.77
